기준_년_분기_코드,상권_코드,총_직장_인구_수,남성_직장_인구_수,여성_직장_인구_수,연령대_10_직장_인구_수,연령대_20_직장_인구_수,연령대_30_직장_인구_수,연령대_40_직장_인구_수,연령대_50_직장_인구_수,연령대_60_이상_직장_인구_수,남성연령대_10_직장_인구_수,남성연령대_20_직장_인구_수,남성연령대_30_직장_인구_수,남성연령대_40_직장_인구_수,남성연령대_50_직장_인구_수,남성연령대_60_이상_직장_인구_수,여성연령대_10_직장_인구_수,여성연령대_20_직장_인구_수,여성연령대_30_직장_인구_수,여성연령대_40_직장_인구_수,여성연령대_50_직장_인구_수,여성연령대_60_이상_직장_인구_수
2019_2,1000898,25238,14362,10876,68,6374,7890,5585,3127,2194,22,2378,4448,3722,2099,1693,46,3996,3442,1863,1028,501
2019_2,1000897,9753,5955,3798,42,2268,2662,2156,1461,1164,27,1107,1646,1454,923,798,15,1161,1016,702,538,366
2019_2,1000896,22705,14815,7890,91,5168,6849,5172,3461,1964,49,2502,4476,3816,2559,1413,42,2666,2373,1356,902,551
2019_2,1000895,6728,3828,2900,10,887,1560,1669,1578,1024,4,402,952,925,794,751,6,485,608,744,784,273
2019_2,1000894,14559,8201,6358,36,3096,4760,3411,1905,1351,12,1066,2732,2317,1153,921,24,2030,2028,1094,752,430
2019_2,1000893,18776,11937,6839,58,3508,5241,4583,2968,2418,22,1403,3406,3413,2081,1612,36,2105,1835,1170,887,806
2019_2,1000892,4987,3716,1271,2,713,1633,1263,815,561,0,428,1238,993,591,466,2,285,395,270,224,95
2019_2,1000891,4647,2997,1650,15,830,1407,1120,785,490,7,425,899,754,509,403,8,405,508,366,276,87
2019_2,1000890,17163,9905,7258,34,2419,4854,4611,3495,1750,13,1228,3087,2682,1658,1237,21,1191,1767,1929,1837,513
2019_2,1000889,31977,13405,18572,121,4880,7459,10000,7084,2433,61,2356,4159,3356,1964,1509,60,2524,3300,6644,5120,924
2019_2,1000888,26412,13779,12633,61,6527,8524,5631,3539,2130,27,1940,4511,3653,2117,1531,34,4587,4013,1978,1422,599
2019_2,1000887,27582,15223,12359,53,6946,9360,6141,3329,1753,25,2379,5259,4169,2182,1209,28,4567,4101,1972,1147,544
2019_2,1000886,10119,6479,3640,65,2299,3011,2340,1462,942,46,1265,1998,1612,922,636,19,1034,1013,728,540,306
2019_2,1000885,21908,13370,8538,62,4326,6361,5527,3770,1862,15,1763,3844,3814,2549,1385,47,2563,2517,1713,1221,477
2019_2,1000884,12909,5920,6989,15,2089,3345,3964,2428,1068,6,665,1398,1894,1292,665,9,1424,1947,2070,1136,403
2019_2,1000883,28079,21029,7050,70,4852,9562,7294,4585,1716,34,2708,7309,5946,3819,1213,36,2144,2253,1348,766,503
2019_2,1000882,8829,5689,3140,15,1118,2758,2319,1519,1100,5,546,1600,1611,1089,838,10,572,1158,708,430,262
2019_2,1000881,10652,7146,3506,54,2134,3234,2468,1613,1149,46,1222,2201,1783,1074,820,8,912,1033,685,539,329
2019_2,1000880,13045,8684,4361,53,2547,3703,3078,2035,1629,41,1369,2475,2226,1355,1218,12,1178,1228,852,680,411
2019_2,1000879,13110,6497,6613,21,2110,3710,3784,2413,1072,11,689,1717,1804,1492,784,10,1421,1993,1980,921,288
2019_2,1000878,4929,2734,2195,8,884,1442,1210,918,467,5,333,770,757,527,342,3,551,672,453,391,125
2019_2,1000877,10699,5239,5460,26,2893,3482,2197,1325,776,11,802,1758,1383,763,522,15,2091,1724,814,562,254
2019_2,1000876,18611,11765,6846,44,2425,5208,5063,3739,2132,25,1352,3536,3203,2104,1545,19,1073,1672,1860,1635,587
2019_2,1000875,10753,6415,4338,27,2095,3343,2715,1547,1026,13,815,2030,1918,959,680,14,1280,1313,797,588,346
2019_2,1000874,9023,4380,4643,24,1460,2163,2341,1816,1219,15,544,1044,1099,870,808,9,916,1119,1242,946,411
2019_2,1000873,20650,12891,7759,25,3403,6444,5728,3918,1132,15,1776,4156,3683,2452,809,10,1627,2288,2045,1466,323
2019_2,1000872,11174,5079,6095,18,1933,2823,2802,2161,1437,10,654,1233,1285,1018,879,8,1279,1590,1517,1143,558
2019_2,1000871,21807,14793,7014,84,4381,6615,4905,3693,2129,41,2040,4333,3735,2915,1729,43,2341,2282,1170,778,400
2019_2,1000870,13211,8808,4403,33,2047,3288,3287,2779,1777,17,906,2009,2365,2103,1408,16,1141,1279,922,676,369
2019_2,1000869,9162,5644,3518,33,1470,2309,2193,1693,1464,19,646,1351,1399,1114,1115,14,824,958,794,579,349
