기준_년_분기_코드,상권_코드,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,유치원_수,초등학교_수,중학교_수,고등학교_수,대학교_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,공항_수,철도_역_수,버스_터미널_수,지하철_역_수,버스_정거장_수
2019_2,1000273,17,,1,,,2,,,,,,,,,1,,,,,3
2019_2,1000954,36,,1,,,7,,,,,,,,,5,,,,,4
2019_2,1001257,77,2,2,,,7,,,,,,,,,2,,,,,9
2019_2,1000772,20,,,,,2,,,,,,,,,2,,,,,4
2019_2,1000800,23,,1,,,3,,,,,,,,,1,,,,,4
2019_2,1000603,12,,,,,2,1,,,,,,1,,,,,,,
2019_2,1000854,11,,,,,2,,,,,,,,,1,,,,,2
2019_2,1001266,16,,5,,,1,,,,,,,3,,,,,,1,1
2019_2,1000166,25,,,,,5,,,,,,,,,,,,,,5
2019_2,1001490,17,3,,,,3,3,1,,,,,,,1,,,,,1
2019_2,1000523,12,,,,,1,,,,,,,,,,,,,,2
2019_2,1001256,69,,2,,,4,,,,,,,,,2,,,,1,5
2019_2,1001037,66,,2,,1,11,1,1,,,,,,,8,,,,,4
2019_2,1000708,22,2,,,1,5,,,,,,,,,1,,,,,1
2019_2,1000843,6,1,,,,2,,,,,,,,,,,,,,
2019_2,1000826,14,,,,,2,,,,,,,,,,,,,,6
2019_2,1000588,22,2,3,,,5,,,,,,,,,2,,,,,1
2019_2,1000337,32,1,,,,5,1,1,,,,,2,,1,,,,,2
2019_2,1000941,34,,3,,,5,,,,,,,1,,,,,,,1
2019_2,1000944,37,,1,,1,7,,,,,,,,,3,,,,,4
2019_2,1000184,13,1,,,,3,,,,,,,,,,,,,,2
2019_2,1000447,19,2,1,,,2,,1,,,,,,,4,,,,,3
2019_2,1000851,11,,1,,,,1,,,,,,1,,,,,,,2
2019_2,1001138,119,,4,,,2,,,,,,,,6,,,,,1,4
2019_2,1001135,407,4,14,,1,25,,,,,,,1,7,23,,,,,7
2019_2,1001092,102,1,4,,1,7,,,,,,,1,,13,,,,,12
2019_2,1001056,21,2,5,,,,,,,,,,,,1,,,,,2
2019_2,1000952,16,,2,,,3,1,,,,,,1,,,,,,,
2019_2,1001181,48,2,4,,1,3,,,,,,,,1,2,,,,1,7
2019_2,1000641,15,,1,,,2,,,,,,,,,1,,,,,2
2019_2,1001043,71,,7,,,7,,,,,,,,,1,,,,2,7
2019_2,1001226,65,3,8,,,10,1,,,,,,,2,8,,,,,3
2019_2,1001099,71,,9,,,4,,,,,,,2,,9,,,,,4
2019_2,1001331,12,,1,,,,1,,,,,,,,1,,,,,1
2019_2,1000358,18,,1,,,3,,,,,,,,,1,,,,,3
2019_2,1000047,18,,1,,,3,,,,,,,,,5,,,,,1
2019_2,1001063,69,1,4,,1,6,,,,,,,1,,3,,,,,7
2019_2,1001164,60,1,7,,,6,,,,,,,,,,,,,,5
2019_2,1001273,70,1,7,,,8,,,,,,,1,8,1,,,,,7
2019_2,1001314,11,,3,,1,4,,,,,,,1,,,,,,,1
2019_2,1000039,34,,4,,,1,,,,,,,,5,1,,,,,4
2019_2,1000008,20,2,,,,,,,,,,,,1,2,,,,,6
2019_2,1000187,5,1,,,,,1,,,,,,,,,,,,,
2019_2,1001179,53,5,3,,,5,,,,,,,,1,5,,,,,8
2019_2,1001232,113,4,2,,,5,,,,,,,,6,21,,,,1,1
2019_2,1001492,593,21,63,,,37,,,,,,1,1,51,25,,,,2,50
2019_2,1000043,1,1,,,,,,,,,,,,,,,,,,
2019_2,1000492,7,,,,,,,,,,,,,,3,,,,,
2019_2,1001304,1,,,,,,,,,,,,,,,,,,,
2019_2,1000066,2,,,,,,,,,,,,,,,,,,,
2019_2,1001356,1,,,,,1,,,,,,,,,,,,,,
2019_2,1000212,2,1,,,,,,,,,,,,,,,,,,
2019_2,1000473,2,,,,,,,,,,,,,,,,,,,2
2019_2,1000113,1,,,,,,,,,,,,,,,,,,,
2019_2,1001344,1,,,,,,,,,,,,1,,,,,,,
2019_2,1000752,3,,,,,,1,,,,,,,,,,,,,
2019_2,1000750,5,,,,,,,,,,,,,,,,,,,3
2019_2,1001445,6,,,,,,,,,,,,1,,2,,,,,
2019_2,1000683,5,,,,,1,,,,,,,,,,,,,,1
2019_2,1000370,4,,,,,,,,,,,,,,,,,,,1
2019_2,1001026,8,,,,,2,,,,,,,,,1,,,,,1
2019_2,1000208,4,,,,,1,,,,,,,,,1,,,,,1
2019_2,1000915,4,,,,,,,,,,,,,,,,,,,1
2019_2,1001488,5,,,,,1,,,,,,,,,2,,,,,
2019_2,1001302,5,,,,,,,,,,,,,,,,,,,2
2019_2,1000555,4,1,,,1,,,,,,,,,,,,,,,
2019_2,1000964,10,,,,,3,,,,,,,1,,1,,,,,2
2019_2,1000283,8,,,,,,,,,,,,,,,,,,,2
2019_2,1000528,7,,,,,,1,,,,,,,,,,,,,
2019_2,1000663,8,,,,,2,,,,,,,,,1,,,,,1
2019_2,1000903,7,,,,,1,,,,,,,,,1,,,,,
2019_2,1001392,2,,,,,1,,,,,,,,,,,,,,
2019_2,1000672,17,1,2,,,1,,,,,,,,,,,,,,4
2019_2,1000881,6,2,1,,,,,,,,,,,,,,,,,
2019_2,1001325,4,,1,,,,,,,,,,,,,,,,,
2019_2,1001322,6,,,,,2,,,,,,,,,,,,,1,1
2019_2,1000654,7,,,,,1,,,,,,,,,,,,,,5
2019_2,1001349,8,,,,,1,,,,,,,,,2,,,,,1
2019_2,1000699,3,,,,,1,,,,,,,,,,,,,,2
2019_2,1000355,2,,,,,1,,,,,,,,,,,,,,1
2019_2,1000310,8,,,,,,,,,,,,,,1,,,,1,3
2019_2,1000063,16,,,,,,,,,,,,,2,3,,,,,5
2019_2,1001286,2,,,,,,,,,,,,,,,,,,,1
2019_2,1000280,16,,,,,,,,,,8,,,,,,,,,4
2019_2,1000812,7,1,,,,,,,,,,,,,,,,,,3
2019_2,1000705,25,,1,,,2,1,,,,,,,,1,,,,,8
2019_2,1000268,10,,,,,2,1,1,,,,,,,1,,,,,
2019_2,1000907,11,,,,,,,,,,,,,,1,,,,,1
2019_2,1001371,6,,,,,1,,,,,,,,,,,,,,1
2019_2,1000107,13,,,,,2,1,,,,,,,,,,,,,2
2019_2,1000763,2,,,,,,,,,,,,,,,,,,,
2019_2,1000221,16,,,,,5,,,,,,,,,2,,,,1,1
2019_2,1000122,6,1,,,,1,,,,,,,,,,,,,,
2019_2,1001137,29,,,,,5,1,,,,,,,,3,,,,,1
2019_2,1001415,5,1,,,,1,,,,,,,,,,,,,,1
2019_2,1000740,14,1,,,,3,1,,,,,,,,,,,,,1
2019_2,1000243,13,,,,,1,1,,,,,,,,1,,,,,2
2019_2,1000297,12,2,2,,,,,,,,,,,,,,,,,4
2019_2,1001377,17,,1,,,3,,,,,,,,,1,,,,,3
2019_2,1000942,24,2,,,,5,,,,,,,,,1,,,,,2
2019_2,1000319,8,1,,,,,,,,,,,,,1,,,,,2
2019_2,1001416,1,1,,,,,,,,,,,,,,,,,,
2019_2,1000543,11,2,,,,1,,,,,,,,,1,,,,,3
2019_2,1001113,10,,,,,1,,,,,,,,1,,,,,1,2
2019_2,1000021,17,2,,,,2,,,,,,,,1,1,,,,,4
2019_2,1000690,17,1,,,,2,,,,,,,,,2,,,,,3
2019_2,1000504,17,,,,,1,,,,,,,,,6,,,,,5
2019_2,1000126,13,,,,,,,,1,,,,,,,,,,,6
2019_2,1000649,8,,,,,,,,,,,,,,,,,,,3
2019_2,1001036,6,,,,,,,,,,,,,,2,,,,,1
2019_2,1000344,6,,,,,,,,,,,,,,,,,,,2
2019_2,1001442,4,,,,,1,,,,,,,,,,,,,,1
2019_2,1001126,2,,1,,,,,,,,,,,,,,,,,1
2019_2,1001368,18,,1,,,2,,,,,,,2,,,,,,1,3
2019_2,1000428,11,,,,,2,,,,,,,,,,,,,,3
2019_2,1000190,12,,1,,,3,,,,,,,,,,,,,,4
2019_2,1001061,18,,,,,2,,,,,,,,,3,,,,,4
2019_2,1001004,15,,1,,1,2,,,,,,,,,1,,,,,2
2019_2,1000032,18,,1,,,3,,,,,,,1,,1,,,,,1
2019_2,1001155,16,,3,,,,,,,,,,,,2,,,,,4
2019_2,1000304,11,,,,,,,,,,,,,,7,,,,,4
2019_2,1000805,20,,,,,,,,,,,,,,20,,,,,
2019_2,1000510,13,3,,,,2,,,,,,,,,,,,,,1
2019_2,1000902,9,,,,,,,,,,,,,,4,,,,,1
2019_2,1000764,26,1,1,,,5,,,,,,,,,,,,,,4
2019_2,1001450,30,,1,,,4,,,,,,,,,1,,,,,2
2019_2,1000667,9,,,,1,2,,,,,,,,,,,,,,1
2019_2,1000415,11,,,,,1,1,,,,,,,,,,,,,2
2019_2,1001339,12,,,,,2,,,,,,,,,,,,,,1
2019_2,1000253,10,1,,,,,,,,,,,,,,,,,,1
2019_2,1000193,20,1,,1,1,3,,,,,,,,,2,,,,,3
2019_2,1000031,10,1,,,,1,,,,,,,,,,,,,,
2019_2,1000015,13,,,,,,,,,,,,,1,2,,,,,1
2019_2,1000867,15,1,1,,,1,,,,,,,,,,,,,,3
2019_2,1000027,19,1,,,,,1,1,1,1,7,,,,2,,,,,
2019_2,1001271,17,,,,,,1,,,,,,,1,3,,,,,3
2019_2,1000910,22,,,,,,,,,,,,,3,,,,,,1
2019_2,1000581,6,,,,,,,,,,,,,,,,,,,4
2019_2,1000452,22,5,1,,,2,,1,,,,,,,,,,,,4
2019_2,1000674,17,1,,,,1,1,,,,,,,,,,,,,5
2019_2,1000531,3,,,,,,,,,,,,,,,,,,,
2019_2,1000538,12,,,,,,1,,,,,,,,,,,,,
2019_2,1000507,4,,,,,1,,,,,,,,,,,,,,
2019_2,1001411,16,,,,,2,1,,,,,,1,,1,,,,,2
2019_2,1000558,2,,,,,,,,,,,,,,1,,,,,
2019_2,1000567,24,1,1,,,2,1,,,,,,,,1,,,,,2
2019_2,1000730,11,,,,,1,,,,,,,,,4,,,,,
2019_2,1000767,7,,,,,,,,,,,,,,,,,,,3
2019_2,1000858,7,,,,,,,,,,,,1,,2,,,,,
2019_2,1000971,3,,,,,,,,,,,,,,,,,,,
2019_2,1000978,11,,,,1,2,,,,,,,,,1,,,,,1
2019_2,1000501,13,,,,,,,1,,,,,,,,,,,,9
2019_2,1000439,9,,1,,,,,,,,,,,,1,,,,,1
2019_2,1000436,14,,,,,,,,,,,,,,,,,,,5
2019_2,1000395,6,,,,,1,,,,,,,,,,,,,,
2019_2,1000014,4,1,,,,,,,,,,,,,,,,,,1
