기준_년_분기_코드,상권_코드,아파트_단지_수,아파트_면적_66_제곱미터_미만_세대_수,아파트_면적_66_제곱미터_세대_수,아파트_면적_99_제곱미터_세대_수,아파트_면적_132_제곱미터_세대_수,아파트_면적_165_제곱미터_세대_수,아파트_가격_1_억_미만_세대_수,아파트_가격_1_억_세대_수,아파트_가격_2_억_세대_수,아파트_가격_3_억_세대_수,아파트_가격_4_억_세대_수,아파트_가격_5_억_세대_수,아파트_가격_6_억_이상_세대_수,아파트_평균_면적,아파트_평균_시가
2019_2,1001389,2,100,100,,,,,85,115,,,,,64,207400000
2019_1,1001389,2,100,100,,,,,85,115,,,,,64,207400000
2019_2,1001388,4,110,22,,,,90,6,36,,,,,57,194462500
2019_1,1001388,4,110,22,,,,90,6,36,,,,,57,194462500
2019_2,1001386,1,16,,,,,,16,,,,,,51,187625000
2019_1,1001386,1,16,,,,,,16,,,,,,51,187625000
2019_2,1001385,3,12,14,,,,2,20,4,,,,,59,169444444
2019_1,1001385,3,12,14,,,,2,20,4,,,,,59,169444444
2019_2,1001382,1,128,,,,,12,116,,,,,,55,148093750
2019_1,1001382,1,128,,,,,12,116,,,,,,55,148093750
2019_2,1001381,12,153,56,,4,,101,30,54,28,,,,60,205937169
2019_1,1001381,12,153,56,,4,,101,30,54,28,,,,60,205937169
2019_2,1001380,7,64,,,,,26,38,,,,,,54,93981633
2019_1,1001380,7,64,,,,,26,38,,,,,,54,93981633
2019_2,1001379,1,8,72,,,,,76,4,,,,,72,176700000
2019_1,1001379,1,8,72,,,,,76,4,,,,,72,176700000
2019_2,1001377,3,38,2,,,,21,17,2,,,,,35,94119048
2019_1,1001377,3,38,2,,,,21,17,2,,,,,35,94119048
2019_2,1001375,3,36,34,,,,8,60,2,,,,,64,137610648
2019_1,1001375,3,36,34,,,,8,60,2,,,,,64,137610648
2019_2,1001374,6,94,4,,,,34,64,,,,,,45,110408333
2019_1,1001374,6,94,4,,,,34,64,,,,,,45,110408333
2019_2,1001371,15,234,22,,,,96,122,38,,,,,47,115956540
2019_1,1001371,15,234,22,,,,96,122,38,,,,,47,115956540
2019_2,1001367,15,179,28,,,,111,96,,,,,,50,95964683
2019_1,1001367,15,179,28,,,,111,96,,,,,,50,95964683
2019_2,1001365,20,228,98,1,,,84,238,4,1,,,,55,136364293
2019_1,1001365,20,228,98,1,,,84,238,4,1,,,,55,136364293
2019_2,1001364,10,149,16,,,,146,19,,,,,,48,80668261
2019_1,1001364,10,149,16,,,,146,19,,,,,,48,80668261
2019_2,1001363,5,50,22,,,,30,42,,,,,,58,108438889
2019_1,1001363,5,50,22,,,,30,42,,,,,,58,108438889
2019_2,1001362,5,80,8,,,,60,28,,,,,,51,92648951
2019_1,1001362,5,80,8,,,,60,28,,,,,,51,92648951
2019_2,1001361,2,36,,,,,36,,,,,,,45,65137500
2019_1,1001361,2,36,,,,,36,,,,,,,45,65137500
2019_2,1001360,5,47,,,,,18,29,,,,,,45,99010476
2019_1,1001360,5,47,,,,,18,29,,,,,,45,99010476
2019_2,1001359,35,507,96,8,,,242,361,8,,,,,54,114274261
2019_1,1001359,35,507,96,8,,,242,361,8,,,,,54,114274261
2019_2,1001358,1,2,21,1,,,,23,1,,,,,81,140208333
2019_1,1001358,1,2,21,1,,,,23,1,,,,,81,140208333
2019_2,1001357,23,381,28,,,,75,334,,,,,,49,119067469
2019_1,1001357,23,381,28,,,,75,334,,,,,,49,119067469
2019_2,1001356,2,14,10,,,,12,12,,,,,,55,101125000
2019_1,1001356,2,14,10,,,,12,12,,,,,,55,101125000
2019_2,1001355,5,48,18,,,,18,48,,,,,,50,107718333
2019_1,1001355,5,48,18,,,,18,48,,,,,,50,107718333
2019_2,1001354,22,355,12,,,,152,215,,,,,,48,106408076
2019_1,1001354,22,355,12,,,,152,215,,,,,,48,106408076
2019_2,1001353,3,42,128,32,,,26,48,128,,,,,61,143442586
2019_1,1001353,3,42,128,32,,,26,48,128,,,,,61,143442586
2019_2,1001352,8,75,226,,,,36,67,20,178,,,,57,151992109
2019_1,1001352,8,75,226,,,,36,67,20,178,,,,57,151992109
2019_2,1001350,4,132,,,,,,132,,,,,,40,137085938
2019_1,1001350,4,132,,,,,,132,,,,,,40,137085938
2019_2,1001349,2,20,1,,,,8,11,2,,,,,48,131872727
2019_1,1001349,2,20,1,,,,8,11,2,,,,,48,131872727
2019_2,1001347,3,48,,,,,2,46,,,,,,48,138916667
2019_1,1001347,3,48,,,,,2,46,,,,,,48,138916667
2019_2,1001345,2,123,,,,,123,,,,,,,37,24512195
2019_1,1001345,2,123,,,,,123,,,,,,,37,24512195
2019_2,1001343,5,60,30,10,2,,2,88,12,,,,,66,150083333
2019_1,1001343,5,60,30,10,2,,2,88,12,,,,,66,150083333
2019_2,1001342,2,46,,,,,46,,,,,,,51,65623077
2019_1,1001342,2,46,,,,,46,,,,,,,51,65623077
2019_2,1001340,13,184,52,,,,83,153,,,,,,54,124511988
2019_1,1001340,13,184,52,,,,83,153,,,,,,54,124511988
2019_2,1001339,5,55,3,,,,26,32,,,,,,49,104744877
2019_1,1001339,5,55,3,,,,26,32,,,,,,49,104744877
2019_2,1001337,1,10,,,,,,10,,,,,,50,173100000
2019_1,1001337,1,10,,,,,,10,,,,,,50,173100000
2019_2,1001336,17,320,72,,,,118,272,2,,,,,54,113255470
2019_1,1001336,17,320,72,,,,118,272,2,,,,,54,113255470
2019_2,1001335,11,132,68,,,,86,114,,,,,,54,109272980
2019_1,1001335,11,132,68,,,,86,114,,,,,,54,109272980
2019_2,1001334,3,30,32,,,,6,56,,,,,,58,127752193
2019_1,1001334,3,30,32,,,,6,56,,,,,,58,127752193
2019_2,1001333,15,119,43,,,,30,132,,,,,,54,118713667
2019_1,1001333,15,119,43,,,,30,132,,,,,,54,118713667
2019_2,1001332,8,84,176,,,,36,62,162,,,,,58,154333925
2019_1,1001332,8,84,176,,,,36,62,162,,,,,58,154333925
2019_2,1001331,15,26,146,,,,32,104,36,,,,,73,130351587
2019_1,1001331,15,26,146,,,,32,104,36,,,,,73,130351587
2019_2,1001330,17,212,36,,,,55,193,,,,,,51,115683238
2019_1,1001330,17,212,36,,,,55,193,,,,,,51,115683238
2019_2,1001329,13,203,14,,,,92,125,,,,,,39,112455811
2019_1,1001329,13,203,14,,,,92,125,,,,,,39,112455811
2019_2,1001328,1,4,8,,,,,10,2,,,,,68,181333333
2019_1,1001328,1,4,8,,,,,10,2,,,,,68,181333333
2019_2,1001327,1,8,3,,,,,9,2,,,,,66,180272727
2019_1,1001327,1,8,3,,,,,9,2,,,,,66,180272727
2019_2,1001326,5,610,8,2,,,66,524,30,,,,,38,108034812
2019_1,1001326,5,610,8,2,,,66,524,30,,,,,38,108034812
2019_2,1001324,4,40,14,,,,,52,2,,,,,62,184050000
2019_1,1001324,4,40,14,,,,,52,2,,,,,62,184050000
2019_2,1001323,2,16,10,,,,8,18,,,,,,59,126630952
2019_1,1001323,2,16,10,,,,8,18,,,,,,59,126630952
2019_2,1001317,4,40,,,,,,40,,,,,,56,171350000
2019_1,1001317,4,40,,,,,,40,,,,,,56,171350000
2019_2,1001316,3,62,2,,,,6,56,2,,,,,41,129669697
2019_1,1001316,3,62,2,,,,6,56,2,,,,,41,129669697
2019_2,1001313,1,30,,,,,,30,,,,,,43,156000000
2019_1,1001313,1,30,,,,,,30,,,,,,43,156000000
2019_2,1001310,1,10,,,,,,6,4,,,,,46,186900000
2019_1,1001310,1,10,,,,,,6,4,,,,,46,186900000
2019_2,1001309,3,74,,,,,68,6,,,,,,19,82587413
2019_1,1001309,3,74,,,,,68,6,,,,,,19,82587413
2019_2,1001308,9,98,32,,,,10,38,82,,,,,56,185815697
2019_1,1001308,9,98,32,,,,10,38,82,,,,,56,185815697
2019_2,1001306,1,4,,,,,4,,,,,,,24,98000000
2019_1,1001306,1,4,,,,,4,,,,,,,24,98000000
2019_2,1001305,1,16,4,,,,,,20,,,,,63,246100000
2019_1,1001305,1,16,4,,,,,,20,,,,,63,246100000
2019_2,1001304,33,349,78,6,,,40,289,102,2,,,,49,171182500
2019_1,1001304,33,349,78,6,,,40,289,102,2,,,,49,171182500
2019_2,1001303,1,20,,,,,20,,,,,,,55,97000000
2019_1,1001303,1,20,,,,,20,,,,,,,55,97000000
2019_2,1001302,4,62,30,6,,,42,38,18,,,,,48,143467857
2019_1,1001302,4,62,30,6,,,42,38,18,,,,,48,143467857
2019_2,1001301,2,14,42,,,,,24,32,,,,,67,180760234
2019_1,1001301,2,14,42,,,,,24,32,,,,,67,180760234
2019_2,1001300,8,144,20,,,,110,46,8,,,,,31,107348611
