기준_년_분기_코드,상권_코드,상권_변화_지표,상권_변화_지표_명,운영_영업_개월_평균,폐업_영업_개월_평균,서울_운영_영업_개월_평균,서울_폐업_영업_개월_평균
2018_4,1000150,HH,정체,112,51,102,51
2018_4,1000149,HH,정체,123,57,102,51
2018_4,1000148,LL,다이나믹,95,49,102,51
2018_4,1000147,HL,상권축소,106,41,102,51
2018_4,1000146,LL,다이나믹,94,50,102,51
2018_4,1000145,HH,정체,145,57,102,51
2018_4,1000144,LL,다이나믹,98,49,102,51
2018_4,1000143,LL,다이나믹,84,45,102,51
2018_4,1000142,LL,다이나믹,78,46,102,51
2018_4,1000141,LL,다이나믹,81,44,102,51
2018_4,1000140,HL,상권축소,106,49,102,51
2018_4,1000139,LH,상권확장,80,54,102,51
2018_4,1000138,LL,다이나믹,88,46,102,51
2018_4,1000137,LL,다이나믹,93,45,102,51
2018_4,1000136,LL,다이나믹,95,48,102,51
2018_4,1000135,HL,상권축소,117,44,102,51
2018_4,1000134,LH,상권확장,101,54,102,51
2018_4,1000133,HH,정체,113,52,102,51
2018_4,1000132,LH,상권확장,86,54,102,51
2018_4,1000131,HH,정체,129,53,102,51
2018_4,1000130,HH,정체,162,63,102,51
2018_4,1000129,HL,상권축소,109,51,102,51
2018_4,1000128,LH,상권확장,90,56,102,51
2018_4,1000127,HL,상권축소,123,48,102,51
2018_4,1000126,LL,다이나믹,81,43,102,51
2018_4,1000125,LH,상권확장,87,52,102,51
2018_4,1000124,HH,정체,113,52,102,51
2018_4,1000123,HH,정체,116,55,102,51
2018_4,1000122,HH,정체,131,61,102,51
2018_4,1000121,LH,상권확장,101,55,102,51
2018_4,1000120,LH,상권확장,88,53,102,51
2018_4,1000119,LH,상권확장,95,61,102,51
2018_4,1000118,HH,정체,114,55,102,51
2018_4,1000117,HH,정체,129,55,102,51
2018_4,1000116,LL,다이나믹,87,50,102,51
2018_4,1000115,LH,상권확장,91,60,102,51
2018_4,1000114,LL,다이나믹,89,46,102,51
2018_4,1000113,LH,상권확장,91,58,102,51
2018_4,1000112,HL,상권축소,119,51,102,51
2018_4,1000111,HL,상권축소,124,50,102,51
2018_4,1000110,LH,상권확장,88,53,102,51
2018_4,1000109,LL,다이나믹,73,50,102,51
2018_4,1000108,LL,다이나믹,78,48,102,51
2018_4,1000107,HH,정체,126,53,102,51
2018_4,1000106,HL,상권축소,104,50,102,51
2018_4,1000105,LL,다이나믹,57,46,102,51
2018_4,1000104,LL,다이나믹,94,49,102,51
2018_4,1000103,LH,상권확장,97,59,102,51
2018_4,1000102,HH,정체,105,68,102,51
2018_4,1000101,LH,상권확장,97,63,102,51
2018_4,1000100,LL,다이나믹,99,50,102,51
2018_4,1000099,HH,정체,108,57,102,51
2018_4,1000098,LH,상권확장,101,59,102,51
2018_4,1000097,LH,상권확장,87,63,102,51
2018_4,1000096,LL,다이나믹,92,46,102,51
2018_4,1000095,HH,정체,136,60,102,51
2018_4,1000094,HH,정체,111,57,102,51
2018_4,1000093,HH,정체,139,59,102,51
2018_4,1000092,LH,상권확장,77,54,102,51
2018_4,1000091,HH,정체,135,56,102,51
2018_4,1000090,HH,정체,127,68,102,51
2018_4,1000089,LH,상권확장,93,60,102,51
2018_4,1000088,LL,다이나믹,99,50,102,51
2018_4,1000087,LH,상권확장,100,62,102,51
2018_4,1000086,LL,다이나믹,100,50,102,51
2018_4,1000085,LL,다이나믹,84,47,102,51
2018_4,1000084,LL,다이나믹,77,44,102,51
2018_4,1000083,HH,정체,166,62,102,51
2018_4,1000082,HH,정체,104,61,102,51
2018_4,1000081,HH,정체,125,61,102,51
2018_4,1000080,LH,상권확장,100,54,102,51
2018_4,1000079,LH,상권확장,96,51,102,51
2018_4,1000078,HH,정체,128,66,102,51
2018_4,1000077,HH,정체,106,61,102,51
2018_4,1000076,HH,정체,112,66,102,51
2018_4,1000075,HH,정체,143,53,102,51
2018_4,1000074,LH,상권확장,101,56,102,51
2018_4,1000073,LL,다이나믹,101,48,102,51
2018_4,1000072,HL,상권축소,103,50,102,51
2018_4,1000071,LL,다이나믹,64,49,102,51
2018_4,1000070,HH,정체,109,62,102,51
2018_4,1000069,HH,정체,150,72,102,51
2018_4,1000068,HH,정체,110,62,102,51
2018_4,1000067,HH,정체,125,53,102,51
2018_4,1000066,HH,정체,122,52,102,51
2018_4,1000065,HH,정체,109,62,102,51
2018_4,1000064,LH,상권확장,98,58,102,51
2018_4,1000063,LL,다이나믹,97,47,102,51
2018_4,1000062,LH,상권확장,97,52,102,51
2018_4,1000061,HH,정체,105,57,102,51
2018_4,1000060,LH,상권확장,76,51,102,51
2018_4,1000059,HH,정체,140,77,102,51
2018_4,1000058,LL,다이나믹,74,44,102,51
