기준_년_분기_코드,상권_코드,월_평균_소득_금액,소득_구간_코드,지출_총금액,식료품_지출_총금액,의류_신발_지출_총금액,생활용품_지출_총금액,의료비_지출_총금액,교통_지출_총금액,여가_지출_총금액,문화_지출_총금액,교육_지출_총금액,유흥_지출_총금액
2019_2,1000899,3353323,7,4169407503,985551548,521300378,333579031,475309165,725206146,176351142,126525448,646491784,179092861
2019_2,1000898,3448694,7,5722145244,1335817104,727597614,470902454,646721963,1008036781,255845470,177396631,850217205,249610022
2019_2,1000897,2850106,6,7321525326,1815131443,918686116,604210129,835695729,1256421278,285035726,245107373,1034877165,326360367
2019_2,1000896,3094788,7,9430459063,2294294720,1187471544,793181388,1064543135,1642593997,383360043,311105523,1334935873,418972840
2019_2,1000895,3128688,7,6263152067,1463273805,775411750,468576247,729302294,1117410691,253470512,182052476,1004878266,268776026
2019_2,1000894,3471094,7,6110136815,1465092364,770267166,516552618,677616686,1072265292,249557575,201162248,885800698,271822168
2019_2,1000893,5242764,9,10570606653,2411440022,1314588993,796777348,1230780389,1924417692,431492479,299658899,1702368400,459082431
2019_2,1000892,5059889,9,3209948894,719257419,397209642,229036551,372686515,595187473,121648968,87177112,545206410,142538804
2019_2,1000891,3187517,7,4897891607,1159698363,606836521,363218649,579792440,879091710,190064345,142433318,761448140,215308121
2019_2,1000890,3188001,7,6506530917,1599516663,803574454,490720401,774134550,1113601251,259383838,197365900,988820218,279413642
2019_2,1000889,3224083,7,7255734985,1772450650,906722862,558275491,868613686,1261666159,304362260,218830967,1051477461,313335449
2019_2,1000888,3945257,8,4346153202,984395512,556326099,349684773,494214303,762341532,201944409,131840792,675913910,189491872
2019_2,1000887,3632767,7,7784559736,1784452574,993933663,627649137,878915508,1345358660,349396599,242575682,1221437222,340840691
2019_2,1000886,2934348,6,8203911483,2038788386,1032964594,681957659,941506592,1417524417,323942365,274658022,1125456206,367113242
2019_2,1000885,4773284,8,10318178760,2360234528,1289655615,811898170,1199586325,1862055419,437655375,299153010,1611134109,446806209
2019_2,1000884,4042735,8,8665932968,2092499339,1049707886,632208199,1034585877,1498191039,316685996,252025055,1418781521,371248056
2019_2,1000883,5104595,9,6503975785,1475127669,802150700,506482264,753752063,1186726332,265669436,185692002,1048313839,280061480
2019_2,1000882,5147184,9,5214274341,1228502859,657612548,396813137,649461111,960617933,219686258,146536688,723173555,231870252
2019_2,1000881,3833899,8,8817633063,2078141096,1080426490,650495683,1026146185,1547353085,340129699,257819163,1460579911,376541751
2019_2,1000880,3674563,7,10294052537,2465091055,1264433951,760051833,1229024468,1803395867,397166195,300102412,1631799524,442987232
2019_2,1000879,3337508,7,8151725440,1992725647,1003817780,591522224,985446268,1404767408,321496565,238739507,1265121398,348088643
2019_2,1000878,3589844,7,11141515166,2645658844,1396808771,877875080,1264811711,1916035860,456143027,354892947,1742143393,487145533
2019_2,1000877,3326267,7,11321567614,2657578146,1428221228,898098945,1289381138,1971646245,494541830,353098315,1740850928,488150839
2019_2,1000876,3303431,7,7389293277,1766268630,917029800,565516638,863186027,1276123371,314029868,221614530,1154916744,310607669
2019_2,1000875,4589212,8,10828981523,2440776408,1357821501,847072765,1217271948,1938999228,485447345,318930250,1765572106,457089972
2019_2,1000874,3409913,7,12895060739,3085451380,1587796439,951980646,1531958013,2252550476,508025438,376146268,2047930863,553221216
2019_2,1000873,5615218,9,8554854717,1933124568,1062613768,645448230,996778018,1563344270,353115967,240993998,1390110506,369325392
2019_2,1000872,3936968,8,10394425545,2485078328,1276687931,763482262,1233189702,1811112408,405817028,302069056,1671205101,445783729
2019_2,1000871,4442022,8,10248085425,2343850223,1281533705,762167909,1182924934,1814048471,456955819,289591724,1687713024,429299616
2019_2,1000870,3869449,8,9235129596,2136596108,1138438701,679185542,1064330038,1622756524,383849129,263452214,1558406197,388115143
2019_2,1000869,3539983,7,9471434045,2240117839,1155453363,689966184,1102737170,1643742406,366685559,273738839,1596983743,402008942
2019_2,1000868,2765866,6,8067308571,1998801488,1024581789,656300297,930005286,1344725865,327548416,274643129,1146566235,364136066
2019_2,1000867,4891199,9,5008360250,1111916611,631437775,372954236,578066521,909750979,232442234,137684792,824108354,209998748
2019_2,1000866,5177974,9,6381291044,1416140348,812545729,479431387,739383710,1159866953,308991414,174906176,1022922953,267102374
2019_2,1000865,5389472,9,6549977158,1452646292,822663800,512404735,747888378,1180162170,292680171,185775057,1076531078,279225477
2019_2,1000864,5304650,9,8134110014,1802756242,1026754137,604134884,931647493,1469575271,375610151,222712474,1359442855,341476507
2019_2,1000863,4076481,8,9607446816,2240094892,1181863506,701246758,1115594719,1683373073,386493362,273488102,1617680941,407611463
2019_2,1000862,4197007,8,7594751373,1775669404,941133674,567518180,887359813,1348649133,312428402,220346950,1218151995,323493822
2019_2,1000861,4509446,8,5206108232,1183438246,664401818,396165798,608948241,944920835,242712441,145067444,796826035,223627374
2019_2,1000860,3749202,8,7279297605,1690494360,905613674,576844660,838368603,1285319744,322593948,213734164,1142210307,304118145
2019_2,1000859,3337075,7,4394869728,1017486130,547208996,338721990,507987630,783730236,189847554,128233722,696208015,185445455
2019_2,1000858,3702587,7,6256456770,1552124426,768288206,458469299,756641895,1069299353,235493991,189079252,956438073,270622275
2019_2,1000857,3165684,7,9345709828,2212945548,1160336013,711628616,1086160973,1629035174,394801869,277653774,1478386247,394761614
2019_2,1000856,3263858,7,7920352861,1807079239,989139456,597572479,904725717,1419547418,344245418,228142192,1295766234,334134708
2019_2,1000855,4940474,9,6334377247,1416536048,799918427,477673976,736770696,1153714297,293526569,175132943,1013940104,267164187
2019_2,1000854,4429381,8,9590266689,2265487686,1177960915,709835757,1143130534,1700109809,370909330,275033782,1533989609,413809267
2019_2,1000853,4040090,8,11423538160,2681175439,1389583945,838313312,1322782402,1994707151,433445648,328865603,1946612288,488052372
2019_2,1000852,3676030,7,6930404935,1681261274,858665202,552797068,819571753,1184614186,302163254,210169369,1032008062,289154767
