기준_년_분기_코드,상권_코드,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,유치원_수,초등학교_수,중학교_수,고등학교_수,대학교_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,공항_수,철도_역_수,버스_터미널_수,지하철_역_수,버스_정거장_수
2019_2,1000385,133,2,1,,2,14,1,1,,,1,,,,5,,,,2,42
2019_2,1000699,92,1,2,,,13,3,2,,,,,1,,1,,,,,26
2019_2,1000730,102,1,2,1,2,8,1,1,,1,,,1,,21,,,,,22
2019_2,1000705,86,2,2,,1,7,3,1,,1,,,1,,11,,,,,20
2019_2,1000812,161,4,3,,3,23,4,2,,1,,,3,,7,,,,1,30
2019_2,1000824,202,3,6,,3,25,1,1,,,,,3,,9,,,,1,31
2019_2,1000667,92,6,1,,2,11,1,2,2,1,,,,1,1,,,,,21
2019_2,1000752,90,5,5,,1,8,2,2,,,,,1,1,10,,,,,14
2019_2,1000750,50,1,,,,2,,1,1,,,,2,,1,,,,,15
2019_2,1000683,94,2,3,,,13,2,2,1,1,,,2,,,,,,,29
2019_2,1000767,152,4,4,,2,17,4,2,,,,,3,,22,,,,,24
2019_2,1000764,98,2,3,1,1,15,1,2,,,,,2,,6,,,,1,16
2019_2,1000763,101,2,4,1,1,15,1,2,,,,,2,,2,,,,1,17
2019_2,1000733,193,2,5,,1,23,1,,,,,,3,,19,,,,1,21
2019_2,1000796,117,4,3,,1,15,1,,,,,,,,9,,,,,19
2019_2,1000794,49,2,,,,5,1,1,,,,,1,,,,,,,9
2019_2,1000707,108,2,2,,2,14,3,2,1,,,,,,7,,,,2,19
2019_2,1000674,112,5,4,,2,16,1,2,1,1,,,,1,2,,,,,27
2019_2,1000805,67,2,,,,1,1,1,,2,,,,,46,,,,,7
2019_2,1000663,90,4,1,1,,8,,2,1,,,,,1,2,,,,,18
2019_2,1000672,123,6,7,,2,17,,1,1,,,,,,5,,,,,27
2019_2,1000671,144,10,6,1,2,19,,1,,,,,,,7,,,,,20
2019_2,1000782,93,2,3,1,1,13,2,1,1,,,,2,,1,,,,,12
2019_2,1000237,150,3,3,,1,15,3,2,,,,,,,1,,,,1,25
2019_2,1000221,134,4,1,,,20,2,,,,9,,,,20,,,,1,17
2019_2,1000195,58,7,2,,,3,,1,1,,,,,,,,,,,9
2019_2,1000208,97,3,2,1,1,3,1,1,2,2,51,,,4,6,,,,,12
2019_2,1000212,100,6,4,,4,12,2,1,,,,,,2,10,,,,1,12
2019_2,1000200,123,1,3,,5,17,2,2,,,,,,,6,,,,,23
2019_2,1000193,129,7,2,1,2,11,1,,1,1,,,,,9,,,,1,32
2019_2,1000538,61,2,,,,4,1,2,,,,,,,,,,,,11
2019_2,1000510,100,6,1,,,17,4,2,1,,,,,1,2,,,,,15
2019_2,1000310,81,3,2,,,9,1,1,,,,,,,7,,,,1,11
2019_2,1000507,56,2,1,,,7,,,2,1,,,,,1,,,,,3
2019_2,1000297,102,4,4,,,11,1,2,,,,,,1,,,,,,30
2019_2,1000308,95,2,1,,1,12,1,1,1,1,,,,,1,,,,2,24
2019_2,1000304,103,3,2,,,3,2,1,2,1,30,,,1,14,,,,1,21
2019_2,1000268,195,3,9,,1,16,5,2,2,1,,,1,,14,,,,1,36
2019_2,1000280,90,4,1,,,2,3,2,1,2,20,,,,3,,,,,22
2019_2,1000319,206,6,6,1,2,17,1,1,1,,,,1,,9,,,,1,28
2019_2,1000283,104,3,4,,,9,,,1,1,4,,,,5,,,,,31
2019_2,1000253,78,3,1,,,4,1,,,,,,2,,5,,,,,14
2019_2,1000263,102,2,4,,1,16,2,1,,,,,,,1,,,,1,16
2019_2,1000243,159,6,2,,2,22,1,,,,,,3,,7,,,,1,19
2019_2,1000087,101,5,1,,,11,1,2,1,1,,,,1,3,,,,,24
2019_2,1000130,97,3,3,,1,7,3,1,1,1,,,1,4,7,,,,,20
2019_2,1000043,74,2,2,,,6,1,3,1,1,,,,,2,,,,1,14
2019_2,1000139,142,1,5,,2,10,2,2,,1,,,1,6,6,,,,2,24
2019_2,1000122,106,3,4,,2,14,1,1,,,,,1,1,2,,,,3,14
2019_2,1000169,180,3,6,1,1,14,3,2,2,2,44,,1,3,34,,,,,17
2019_2,1000161,148,1,2,,,21,2,1,,1,,,1,1,4,,,,1,28
2019_2,1000113,69,5,9,,1,4,,1,,,,,,1,4,,,,1,8
2019_2,1000126,94,9,3,,,7,4,1,1,,,,2,,3,,,,2,21
2019_2,1000027,142,6,1,,,5,2,1,1,1,7,,,9,35,,,,,24
2019_2,1000191,114,2,7,,2,16,,,1,,,,1,,3,,,,3,30
2019_2,1000190,91,5,2,,1,9,1,1,1,1,,,,1,3,,,,,20
2019_2,1000032,131,6,5,,1,15,1,1,,,,,1,2,13,,,,2,7
2019_2,1000031,77,2,2,,,8,1,1,1,1,,,1,,5,,,,,13
