기준_년_분기_코드,상권_코드,아파트_단지_수,아파트_면적_66_제곱미터_미만_세대_수,아파트_면적_66_제곱미터_세대_수,아파트_면적_99_제곱미터_세대_수,아파트_면적_132_제곱미터_세대_수,아파트_면적_165_제곱미터_세대_수,아파트_가격_1_억_미만_세대_수,아파트_가격_1_억_세대_수,아파트_가격_2_억_세대_수,아파트_가격_3_억_세대_수,아파트_가격_4_억_세대_수,아파트_가격_5_억_세대_수,아파트_가격_6_억_이상_세대_수,아파트_평균_면적,아파트_평균_시가
2019_2,1000418,271,3115,916,108,0,4,1533,2377,229,2,2,0,0,52,116183956
2019_2,1000419,256,3491,1407,194,10,8,1431,1668,1338,557,116,0,0,54,123046255
2019_2,1000887,156,2917,618,406,208,449,252,1591,974,398,144,516,723,95,390196942
2019_2,1000420,288,4070,1873,244,0,0,1684,2313,1220,798,172,0,0,53,126425175
2019_2,1000421,420,5740,2387,238,264,1,2516,3582,1794,651,86,1,0,54,126509664
2019_2,1000422,329,3735,2227,140,4,12,1263,3710,1129,16,0,0,0,56,132853879
2019_2,1000423,232,3202,2429,110,0,10,1252,2726,1763,10,0,0,0,56,124376128
2019_2,1000424,283,3408,2641,158,0,10,1663,2814,1730,10,0,0,0,56,121082153
2019_2,1000460,317,4076,409,64,18,12,535,2152,1830,53,7,2,0,57,173571268
2019_2,1000461,88,2400,4542,2060,1096,2,110,204,982,4114,3712,720,258,83,335898704
2019_2,1000462,64,2243,3850,676,648,2,110,268,1709,2564,1944,516,308,75,300375508
2019_2,1000463,88,1992,3296,540,660,216,274,315,601,1030,2030,1286,1168,71,351570026
2019_2,1000464,149,2367,2186,382,88,3,622,1114,737,1181,1204,74,94,54,184734932
2019_2,1000465,216,2317,840,48,22,12,595,1619,713,278,15,11,8,50,169188596
2019_2,1000466,263,3656,1391,126,48,16,1191,2681,1071,206,62,8,18,58,161602259
2019_2,1000467,220,3391,1243,126,46,6,1426,2228,869,223,60,2,4,55,151016740
2019_2,1000468,182,2979,959,158,38,10,1426,1604,846,258,8,2,0,52,145715147
2019_2,1000469,270,3606,1563,450,62,12,2045,1814,862,414,530,26,2,52,146693110
2019_2,1000470,214,3380,1275,467,90,0,1537,1646,1109,463,432,25,0,51,142833893
2019_2,1000471,102,2871,2587,1336,18,0,122,883,574,1235,2343,1383,272,67,299218525
2019_2,1000472,129,2772,2158,1242,0,0,324,952,726,487,2188,474,1021,61,267060779
2019_2,1000473,76,2093,3146,1008,616,340,166,330,1937,2134,1934,236,466,95,363647177
2019_2,1000474,119,2238,2343,780,18,2,139,921,791,1212,1985,245,88,65,259389800
2019_2,1000475,396,4837,1959,203,43,0,1417,3765,1370,490,0,0,0,54,145317575
2019_2,1000476,481,6235,1842,260,16,4,1405,4749,1562,435,196,0,10,50,154658367
2019_2,1000477,64,3880,478,44,0,0,592,2134,357,861,398,20,40,43,212260583
2019_2,1000478,168,2574,2914,590,10,0,957,1355,767,2011,974,24,0,57,151313652
2019_2,1000479,301,4461,1861,127,3,0,1342,2577,1499,902,132,0,0,51,141980866
2019_2,1000480,91,2048,3063,1140,304,2,259,568,560,1512,1940,1028,690,66,282089683
2019_2,1000481,322,3736,1998,264,68,18,1897,2495,921,461,306,2,2,57,145695023
2019_2,1000482,413,4987,1993,250,48,12,1741,3911,1128,504,2,4,0,55,141335059
2019_2,1000483,210,2770,1190,382,54,6,1368,1468,667,346,526,27,0,50,146796011
2019_2,1000484,359,4462,2207,163,32,10,1755,3566,1321,230,2,0,0,56,135876366
2019_2,1000485,203,2229,951,67,177,12,557,1519,856,298,33,24,149,51,173340193
2019_2,1000486,140,3199,923,575,62,6,291,587,1777,814,814,54,428,62,212019476
