기준_년_분기_코드,상권_코드,남성_유동인구_수,여성_유동인구_수,주중_유동인구_수,주말_유동인구_수,남성_상주인구_수,여성_상주인구_수,남성_직장_인구_수,여성_직장_인구_수
2019_2,1000586,36085,37455,52943,20603,1030.0,1042.0,160.0,132.0
2019_2,1000633,98604,91750,144593,45762,412.0,458.0,342.0,243.0
2019_2,1000634,149380,137994,202863,84512,1612.0,1645.0,335.0,259.0
2019_2,1000635,86009,84474,117457,53027,586.0,545.0,85.0,16.0
2019_2,1000686,72458,55390,104910,22938,108.0,33.0,236.0,81.0
2019_2,1000687,154140,141946,226103,69989,1612.0,1100.0,1592.0,1671.0
2019_2,1000688,69911,60069,102678,27303,503.0,478.0,895.0,828.0
2019_2,1000689,67112,65014,101816,30309,628.0,703.0,731.0,284.0
2019_2,1000536,127536,120332,175911,71957,2264.0,2227.0,171.0,321.0
2019_2,1000537,95155,87101,127604,54658,1785.0,1843.0,130.0,100.0
2019_2,1000538,95694,89594,128014,57276,1805.0,1805.0,145.0,63.0
2019_2,1000587,43510,44843,62203,26153,1423.0,1535.0,322.0,115.0
2019_2,1000588,50358,57335,76018,31673,677.0,762.0,501.0,1013.0
2019_2,1000589,88031,68004,115193,40845,1257.0,1218.0,245.0,135.0
2019_2,1000636,25443,16006,30559,10887,500.0,422.0,370.0,141.0
2019_2,1000637,76480,69398,97684,48194,350.0,323.0,43.0,43.0
2019_2,1000638,137583,125516,172763,90337,1307.0,1387.0,60.0,65.0
2019_2,1000696,163086,169152,246881,85358,1224.0,1115.0,318.0,158.0
2019_2,1000697,45415,44813,59765,30459,512.0,545.0,41.0,29.0
2019_2,1000698,165462,185419,245041,105849,1503.0,1522.0,160.0,153.0
2019_2,1000539,59171,57283,79592,36858,1969.0,2052.0,76.0,36.0
2019_2,1000540,59839,60922,86181,34579,430.0,363.0,62.0,109.0
2019_2,1000541,145349,138125,204699,78771,1641.0,1698.0,180.0,268.0
2019_2,1000590,161417,111125,200893,71649,1221.0,1141.0,451.0,255.0
2019_2,1000591,110131,104715,156336,58516,2097.0,2167.0,176.0,136.0
2019_2,1000592,115904,105541,156857,64591,1440.0,1445.0,106.0,55.0
2019_2,1000639,38079,37916,52430,23567,608.0,679.0,56.0,49.0
2019_2,1000640,168002,160525,223080,105453,1027.0,1138.0,31.0,31.0
2019_2,1000641,215657,158355,255074,118942,727.0,683.0,97.0,70.0
2019_2,1000642,116223,67008,156162,27069,637.0,553.0,34.0,24.0
2019_2,1000690,107704,99304,158489,48510,818.0,983.0,730.0,260.0
2019_2,1000691,166536,155338,239272,82604,1111.0,1106.0,1622.0,916.0
2019_2,1000692,159418,137784,204856,92351,2194.0,2152.0,116.0,60.0
2019_2,1000542,89551,72221,115152,46623,1019.0,896.0,79.0,39.0
2019_2,1000543,140812,139166,203554,76426,543.0,564.0,102.0,59.0
2019_2,1000544,58760,60600,85190,34176,452.0,462.0,37.0,37.0
2019_2,1000593,115437,117607,167507,65540,1931.0,1859.0,95.0,108.0
2019_2,1000594,29477,25184,37477,17183,967.0,1048.0,388.0,128.0
2019_2,1000595,55359,56696,82847,29203,677.0,634.0,276.0,92.0
2019_2,1000643,234790,199970,317627,117137,2583.0,2140.0,1421.0,1358.0
2019_2,1000644,604236,445555,808292,241502,822.0,678.0,346.0,299.0
2019_2,1000645,28256,28436,39323,17367,1349.0,1290.0,97.0,147.0
2019_2,1000693,364538,311613,446971,229178,974.0,902.0,662.0,327.0
2019_2,1000694,81237,64802,106811,39231,1214.0,1155.0,270.0,158.0
2019_2,1000695,169710,135091,225447,79348,1458.0,1385.0,181.0,93.0
2019_2,1000545,95319,90721,130247,55793,953.0,1007.0,1336.0,74.0
2019_2,1000546,108658,97807,143198,63272,982.0,919.0,39.0,40.0
2019_2,1000547,82750,89935,110024,62652,2059.0,2115.0,315.0,159.0
2019_2,1000596,108968,120488,165689,63761,3249.0,3409.0,699.0,428.0
2019_2,1000597,107676,110703,152206,66172,1426.0,1323.0,363.0,111.0
2019_2,1000598,219852,289200,382353,126688,2557.0,2811.0,215.0,110.0
2019_2,1000646,53701,51073,67329,37442,825.0,861.0,128.0,72.0
2019_2,1000647,37226,36265,50797,22694,716.0,712.0,618.0,47.0
2019_2,1000648,61493,58653,81149,38997,1373.0,1450.0,293.0,144.0
2019_2,1000498,128620,148427,193852,83196,1122.0,1301.0,138.0,270.0
2019_2,1000499,131768,156407,211554,76624,1144.0,1319.0,882.0,408.0
2019_2,1000500,147561,180574,225109,103032,748.0,867.0,185.0,85.0
2019_2,1000548,69958,73752,94913,48798,1841.0,1892.0,218.0,140.0
2019_2,1000549,66799,61031,89007,38815,1616.0,1660.0,110.0,111.0
2019_2,1000550,50090,46619,71822,24884,1599.0,1609.0,141.0,123.0
2019_2,1000599,170423,160725,219502,111649,1333.0,1212.0,24.0,102.0
2019_2,1000600,175862,157930,226677,107107,1476.0,1398.0,367.0,104.0
2019_2,1000601,79896,91061,118684,52271,2440.0,2508.0,65.0,65.0
2019_2,1000649,51060,43512,67944,26630,258.0,259.0,85.0,44.0
2019_2,1000650,149612,147278,201934,94957,1053.0,1046.0,232.0,246.0
2019_2,1000651,56051,35369,65992,25428,469.0,361.0,21.0,23.0
