기준_년_분기_코드,상권_코드,아파트_단지_수,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,유치원_수,초등학교_수,중학교_수,고등학교_수,대학교_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,공항_수,철도_역_수,버스_터미널_수,지하철_역_수,버스_정거장_수
2019_1,1001428,3.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019_2,1001427,9.0,24.0,0,1.0,0,0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
2019_1,1001427,9.0,24.0,0,1.0,0,0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
2019_2,1001424,14.0,9.0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0
2019_1,1001424,14.0,9.0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0
2019_2,1001421,9.0,3.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0
2019_1,1001421,9.0,3.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0
2019_2,1001420,2.0,17.0,1.0,0,0,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
2019_1,1001420,2.0,17.0,1.0,0,0,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
2019_2,1001419,3.0,2.0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019_1,1001419,3.0,2.0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019_2,1001418,12.0,27.0,2.0,0,0,0,3.0,0,0,0,0,0,0,0,0,6.0,0,0,0,0,1.0
2019_1,1001418,12.0,27.0,2.0,0,0,0,3.0,0,0,0,0,0,0,0,0,6.0,0,0,0,0,1.0
2019_2,1001417,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019_1,1001417,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019_2,1001415,3.0,5.0,1.0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
2019_1,1001415,3.0,5.0,1.0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
2019_2,1001414,8.0,30.0,0,1.0,0,0,3.0,0,0,0,0,0,0,1.0,0,2.0,0,0,0,0,2.0
2019_1,1001414,8.0,30.0,0,1.0,0,0,3.0,0,0,0,0,0,0,1.0,0,2.0,0,0,0,0,2.0
2019_2,1001413,23.0,34.0,0,2.0,0,0,5.0,0,0,0,0,0,0,0,0,2.0,0,0,0,1.0,3.0
2019_1,1001413,23.0,34.0,0,2.0,0,0,5.0,0,0,0,0,0,0,0,0,2.0,0,0,0,1.0,3.0
2019_2,1001412,10.0,10.0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
2019_1,1001412,10.0,10.0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
2019_2,1001411,23.0,16.0,0,0,0,0,2.0,1.0,0,0,0,0,0,1.0,0,1.0,0,0,0,0,2.0
2019_1,1001411,23.0,16.0,0,0,0,0,2.0,1.0,0,0,0,0,0,1.0,0,1.0,0,0,0,0,2.0
2019_2,1001409,20.0,15.0,0,1.0,0,0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
2019_1,1001409,20.0,15.0,0,1.0,0,0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
2019_2,1001406,1.0,20.0,0,0,0,0,5.0,0,0,0,0,0,0,1.0,0,3.0,0,0,0,1.0,2.0
